id,customer_id,customer_name,region,segment
1,CUST-5000,Melinda Cameron,West,Home Office
2,CUST-5001,Crystal Johnson,West,Corporate
3,CUST-5002,Derek Clark,South,Consumer
4,CUST-5003,Sherri Edwards,West,Corporate
5,CUST-5004,Jennifer Rocha,East,Corporate
6,CUST-5005,Derek Wright,West,Corporate
7,CUST-5006,Deborah Richards,South,Home Office
8,CUST-5007,Jennifer Robinson,West,Home Office
9,CUST-5008,Ms. Ann Williams MD,North,Consumer
10,CUST-5009,Rebecca Henderson,North,Consumer
11,CUST-5010,James Ferrell,West,Corporate
12,CUST-5011,Tricia Valencia,South,Corporate
13,CUST-5012,Nathan Maldonado,North,Corporate
14,CUST-5013,Debra Davidson,East,Corporate
15,CUST-5014,Jeffrey Chavez,West,Corporate
16,CUST-5015,Sherri Baker,South,Home Office
17,CUST-5016,Cassandra Gaines,West,Home Office
18,CUST-5017,Elizabeth Fowler,North,Consumer
19,CUST-5018,Brittany Farmer,North,Corporate
20,CUST-5019,Paula Moreno,North,Corporate
21,CUST-5020,Fred Smith,South,Corporate
22,CUST-5021,Sherry Decker,West,Home Office
23,CUST-5022,Anthony Humphrey,North,Home Office
24,CUST-5023,Angelica Tucker,East,Consumer
25,CUST-5024,Philip Cannon,West,Consumer
26,CUST-5025,John Pierce,East,Corporate
27,CUST-5026,Shane Henderson,East,Corporate
28,CUST-5027,Joshua Blair,North,Home Office
29,CUST-5028,Eric Carney,East,Corporate
30,CUST-5029,Jessica Holmes,South,Corporate
31,CUST-5030,Danny Morgan,South,Consumer
32,CUST-5031,Crystal Robinson,West,Corporate
33,CUST-5032,Mark Perez,South,Consumer
34,CUST-5033,Shannon Jones,East,Home Office
35,CUST-5034,Michael Lewis,North,Consumer
36,CUST-5035,Timothy Duncan,West,Corporate
37,CUST-5036,Richard Aguirre,South,Corporate
38,CUST-5037,Brent Jordan,East,Corporate
39,CUST-5038,John Daniel,East,Corporate
40,CUST-5039,Victoria Garcia,South,Consumer
41,CUST-5040,Gerald Hensley,West,Home Office
42,CUST-5041,Connor West,South,Consumer
43,CUST-5042,Donald Wright,East,Home Office
44,CUST-5043,Jessica Callahan,South,Consumer
45,CUST-5044,Amber Kidd,West,Corporate
46,CUST-5045,Tracy House,South,Consumer
47,CUST-5046,Carol Tucker,West,Consumer
48,CUST-5047,James Brown,West,Consumer
49,CUST-5048,William Baker,East,Corporate
50,CUST-5049,Jordan Henderson,West,Corporate
51,CUST-5050,Whitney Peters,South,Home Office
52,CUST-5051,Brittney Phillips,East,Corporate
53,CUST-5052,Lauren Daniels,South,Corporate
54,CUST-5053,Amy Silva,East,Home Office
55,CUST-5054,Sarah Moore,South,Consumer
56,CUST-5055,Angela Lopez,North,Consumer
57,CUST-5056,Megan Young,South,Corporate
58,CUST-5057,Steve Sanchez,South,Home Office
59,CUST-5058,Lisa Barnes,North,Consumer
60,CUST-5059,Kelly Donovan,North,Home Office
61,CUST-5060,Mike Allen,North,Corporate
62,CUST-5061,Michael Evans,East,Home Office
63,CUST-5062,Paul Jones,North,Home Office
64,CUST-5063,Zachary Ferrell,North,Home Office
65,CUST-5064,Daniel Baker,East,Corporate
66,CUST-5065,Shirley Suarez,North,Corporate
67,CUST-5066,Christopher Bass,East,Home Office
68,CUST-5067,Lisa Archer,North,Home Office
69,CUST-5068,Aimee Montoya,North,Consumer
70,CUST-5069,Matthew Mcmillan,East,Consumer
71,CUST-5070,Brian Rodriguez,East,Home Office
72,CUST-5071,Denise Jacobs,West,Consumer
73,CUST-5072,Christina Walters,East,Corporate
74,CUST-5073,John Whitehead,West,Consumer
75,CUST-5074,Anna Henderson,North,Consumer
76,CUST-5075,Aaron Wise,East,Corporate
77,CUST-5076,Deborah Figueroa,North,Home Office
78,CUST-5077,Jessica Smith,South,Home Office
79,CUST-5078,Stephen Mckee,North,Corporate
80,CUST-5079,Sandra Aguilar,South,Consumer
81,CUST-5080,Cameron Parker,North,Corporate
82,CUST-5081,Rebecca Valencia,West,Corporate
83,CUST-5082,Christine Wright,North,Corporate
84,CUST-5083,Richard Henson,East,Home Office
85,CUST-5084,Marc Moore,East,Home Office
86,CUST-5085,Sharon Cherry,North,Consumer
87,CUST-5086,Sierra Johnson,North,Corporate
88,CUST-5087,Evelyn Galvan,West,Consumer
89,CUST-5088,Sharon Cochran,North,Consumer
90,CUST-5089,Richard Rodriguez,North,Corporate
91,CUST-5090,Shannon Walker,North,Corporate
92,CUST-5091,Julia Torres,North,Corporate
93,CUST-5092,Crystal Johnson,South,Corporate
94,CUST-5093,Garrett Lin,North,Consumer
95,CUST-5094,Diana May,East,Consumer
96,CUST-5095,William Herrera,West,Consumer
97,CUST-5096,Ashley Waller,North,Home Office
98,CUST-5097,Victor Baker,South,Consumer
99,CUST-5098,Jeffrey Chandler,North,Consumer
100,CUST-5099,Larry Dixon,West,Corporate
101,CUST-5100,Kenneth Scott,West,Home Office
102,CUST-5101,April Frost,West,Consumer
103,CUST-5102,Michelle Harmon,West,Corporate
104,CUST-5103,Helen Jones,East,Home Office
105,CUST-5104,Erin Edwards,West,Consumer
106,CUST-5105,Michelle Evans,West,Home Office
107,CUST-5106,Jason Powell,West,Consumer
108,CUST-5107,Cameron Fisher,North,Consumer
109,CUST-5108,Megan Orr,North,Corporate
110,CUST-5109,Elizabeth Kelley,North,Consumer
111,CUST-5110,Dustin Jordan,East,Consumer
112,CUST-5111,Mary Marshall,South,Consumer
113,CUST-5112,Daniel Kennedy,South,Home Office
114,CUST-5113,Rebecca Jackson,North,Corporate
115,CUST-5114,Jose Schultz,East,Home Office
116,CUST-5115,Robert Potter,North,Consumer
117,CUST-5116,Courtney Gonzalez,South,Consumer
118,CUST-5117,David Alvarez,East,Consumer
119,CUST-5118,Angel Perry,West,Corporate
120,CUST-5119,Cheyenne Horton,South,Home Office
121,CUST-5120,David Douglas Jr.,North,Corporate
122,CUST-5121,Patricia Rodriguez,North,Corporate
123,CUST-5122,Christopher Rubio,South,Home Office
124,CUST-5123,Amber Wright,South,Corporate
125,CUST-5124,Joyce Solis,South,Corporate
126,CUST-5125,Victoria Larson,East,Home Office
127,CUST-5126,Stephanie Salazar,East,Corporate
128,CUST-5127,Kathy Rivas,East,Corporate
129,CUST-5128,Stephanie Manning,South,Corporate
130,CUST-5129,David Wright,North,Home Office
131,CUST-5130,Pamela Boyd,South,Consumer
132,CUST-5131,Denise Jones,North,Corporate
133,CUST-5132,Devon Flores,North,Home Office
134,CUST-5133,Brenda Hall,South,Consumer
135,CUST-5134,Michelle Brown,West,Corporate
136,CUST-5135,Joshua Perry,West,Corporate
137,CUST-5136,Jason Stein,South,Corporate
138,CUST-5137,Melissa Gates,South,Corporate
139,CUST-5138,Jamie Smith,East,Home Office
